gender,freq_city,freq_country,freq_chl,freq_cwc,freq_wc,trav_country,trav_chl,trav_cwc,trav_wc,whole_high,live_rep,vid_txt,vid_audio,freq_tv,freq_pc,freq_tabl,frec_cell,stats,alone_together,freq_with_friends,freq_with_rel,freq_alone,freq_home,freq_friends,freq_rel,freq_stad,freq_bar,freq_food,freq_nonalc,freq_alc,emotions,paraphenalia,bets,bets_win,d_cornerk,d_save,d_freek,d_goal,d_assist,d_foul,d_penalty,d_offside,d_steal,d_fight,a_offside,a_penalty,a_cornerk,a_oppscore,a_wescore
Female,0,0,0.66,0.66,0.66,0.5,0.75,0.25,0.75,Whole game,Live,Video,Video,0.33,1,0,0,1,Alone,0,0.33,1,1,0,0.33,0.33,0,0.33,0.33,0.33,Yes,Yes,No,,1,1,0.75,1,0.5,1,1,0.5,0.25,0.25,Defenders,Attacker,Defenders,Defenders,Attacker
Male,0,0,1,1,1,0,1,1,1,Whole game,Live,Video,Video,0.33,0.66,0,0,0.66,Together,1,0.33,0,0.66,0.66,0.33,0.33,1,0.66,0.33,0.66,Happy,Yes,Yes,0.33,0.75,0.75,1,1,1,0.75,1,0.75,0.75,1,Defenders,Attacker,Ball,Attacker,Attacker
Male,0,0.33,0.66,0.33,1,0,0.25,0,0.75,Whole game,Live,Video,Video,0.66,0.66,0,0.33,1,Together,0.66,0,0.66,1,0.66,0,0.33,0.33,0.33,0.33,0.33,No,No,Yes,0.33,1,1,1,1,1,0.75,1,1,0.75,1,Attacker,Attacker,Ball,Attacker,Attacker
Male,0,0.33,1,0.33,1,0.25,1,0.25,1,Whole game,Live,Video,Video,0.66,1,1,0.66,1,Together,1,1,0.33,1,1,0.66,0.33,0.33,0.66,0.66,0,Yes,Yes,Yes,0.66,0.5,0.75,1,1,1,0.75,1,0.25,0.75,1,Attacker,Goalkeeper,Defenders,Defenders,Attacker
Male,0,0.33,1,1,1,0.75,1,1,1,Whole game,Live,Video,Video,0.66,0.66,0.66,0.66,1,Together,0.66,0.33,1,0.66,0.33,0.33,0.66,0,0.66,0.66,0,Yes,No,No,,0.75,1,1,1,1,0.5,1,1,0.5,1,Attacker,Attacker,Defenders,Defenders,Defenders
Male,0,0.33,1,1,1,0.5,1,1,1,Whole game,Live,Video,Video,0.33,1,0,1,1,NP,0.66,0,1,1,0.33,0,0.33,0,0.33,0,0,Yes,Yes,Yes,0.66,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,Attacker,Attacker,Defenders,Attacker,Attacker
Male,0,0,1,1,1,0,1,1,1,Whole game,Live,Video,Video,0.33,1,1,1,1,NP,1,0.33,1,1,0.33,0.33,0.33,0.33,1,1,0,Yes,Yes,No,,0,0,0,1,1,0,1,0,0,0,Attacker,Attacker,Defenders,Attacker,Attacker
Male,0.33,0.33,1,0.33,1,0,1,0.25,1,Whole game,Live,Video,Video,0.33,1,0.33,0,0.66,Together,1,0.33,0.33,1,0.33,0,0.33,0,1,1,0,Yes,Yes,Yes,0.66,0.75,0.75,1,1,0.75,0.5,1,0.25,0.5,0.5,Attacker,Ball,Goalkeeper,Attacker,Defenders
Male,0,0,0.66,0,0.33,0,1,0,0.75,Highlights,NP,NP,NP,0.66,0.66,0,0,0.66,Together,0.66,0.66,0.33,0.66,0.66,0.66,0.33,0,0.66,0.66,0,Yes,Yes,No,,0.25,1,0.75,1,1,0.5,0.75,0.25,0,0.5,Defenders,Ball,Ball,Defenders,Attacker
Female,0,0.33,0.66,0.66,0.66,0.75,1,0.5,1,NP,Live,Video,Video,1,0.66,0,0.33,0.66,Together,0.33,0.33,0.66,0.66,0.33,0.33,0.33,0,0.33,0.66,0,No,Yes,No,,1,1,1,1,1,1,1,0.75,0.75,1,Defenders,Attacker,Defenders,Goalkeeper,Goalkeeper
